11/11/11,Fri,0922,Traffic Crime – Officer cited a driver for having an expired license and no insurance after the driver was stopped for speeding. ,
,,,,
11/11/11,Fri,0938,Assistance Rendered – Officer stood by while a man collected his belongings from his former residence.,
,,,,
11/11/11,Fri,1104,"Assistance Rendered – Clinic staff requested assistance finding a patient, scheduled to leave on a Medevac flight in only a few minutes, who had risen from her bed and walked out the front doors.",
,,,,
11/11/11,Fri,1144,Medevac - ,
,,,,
11/11/11,Fri,1314,Assistance Rendered – Officer and USAFV staff helped a woman obtain an emergency protective order.,
,,,,
11/11/11,Fri,1523,"Welfare Check – Wife called requesting assistance locating her ex-husband, from whom she has not heard since September. A records check revealed the man had been arrested and subsequently transferred to Anchorage facilities.  The woman was please to know of her ex-husband’s whereabouts.",
,,,,
11/11/11,Fri,1525,Traffic Roads – Caller reported a piece of tin in the roadway.  An officer moved it for him.,
,,,,
11/11/11,Fri,1636,"Theft – Store employee reported a man had left without paying for his food or videos.  The man, who had attempted to pay with a card that was ultimately declared invalid, was located and taken back to the store to complete payment.",
,,,,
11/11/11,Fri,1725,Ambulance Request – EMS personnel provided care and transport to a patient with a broken clavicle.,
,,,,
11/11/11,Fri,2106,Traffic Roads – Officer moved a bundle of rope from the roadway.,
,,,,
11/11/11,Fri,2200,Liquor Law Violation – An officer following up on a complaint about bringing open containers of alcohol into a bar found evidence to suggest that two underage Coast Guard crew may have been drinking alcohol as well.  Information passed on to USCG cutter staff.,
,,,,
11/12/11,Sat,0030,"Domestic Disturbance – Officers responded to a residence wherein a man had accused his girlfriend of threatening him with a pizza cutter.  Officers found the couple had argued over inviting someone to Thanksgiving dinner, and found nothing to substantiate the man’s claims.  The two agreed to separate for the night.",
,,,,
11/12/11,Sat,0214,"Drunk Disturbance – Officer stopped several intoxicated men who were arguing about the manner in which one of their party had danced with a woman, from resorting to violence to justify their respective stances. ",
,,,,
11/12/11,Sat,0719,"Public Safety – High wind advisory, gusts to 60mph.",
,,,,
11/12/11,Sat,0953,"Assistance Rendered – A woman called requesting information or assistance regarding three young children who were allegedly illegally removed from the State of Montana, to Unalaska.",
,,,,
11/12/11,Sat,1352,Assistance Rendered – Vehicle unlock.,
,,,,
11/13/11,Sun,0115,"Trespass – Officer advised a man, per Unisea Security, that he was not welcome on Unisea property for the next six months.",
,,,,
11/13/11,Sun,0247,"DUI – Wayne A. McCormick, 26 yoa, of Unalaska, was arrested for Driving under the Influence and later charged with Refusal to Submit to a Chemical Test.  McCormick was stopped by officers who had observed him speeding on the wrong side of the roadway.",
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
